datasetid,datasetgroup,datasetname,description,cellline,smallmolecule,technologies
LDS-1026,LDG-1024,NU7441 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of NU7441 at 10 uM of concentration.",,[u'NU-7441'],KINOMEscan
LDS-1008,LDG-1007,GW-5074 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of GW-5074 at 10 uM of concentration.",,[u'GW305074X'],KINOMEscan
LDS-1002,LDG-1001,Moerke 2 Color Apoptosis,-,"[u'COLO-800', u'IST-MEL1', u'PC-9', u'NCI-H1648', u'IA-LM']","[u'GW843682X', u'Tozasertib', u'BI-2536', u'Paclitaxel', u'Staurosporine', u'MPS-1-IN-1', u'XMD-12', u'RO-3306']",Fluorescence imaging
LDS-1019,LDG-1018,PF02341066 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of PF02341066 at 10 uM of concentration.",,[u'Crizotinib'],KINOMEscan
LDS-1004,LDG-1003,Tang Mitosis/Apoptosis ver. II,-,"[u'PL4', u'SW620', u'WiDr', u'PE/CA-PJ15', u'A375.S2', u'COLO-679', u'MDA-MB-435S', u'LNZTA3WT4', u'CAL-51', u'MT-3', u'SW527', u'HEC-1', u'Ishikawa', u'Ishikawa (Heraklio) 02 ER-', u'SK-OV-3', u'Ca Ski', u'KYSE-140', u'KYSE-150', u'KYSE-450', u'Calu-1', u'NCI-H1915', u'NCI-H2023', u'Calu-3', u'NCI-H1651', u'5637', u'647-V', u'T24', u'KMRC-20', u'AGS', u'FU97', u'JHH-6', u'HLF', u'Ca9-22']","[u'Tozasertib', u'BI-2536', u'GSK-1070916', u'Aurora a inhibitor i', u'MLN-8054', u'AZD-1152-HQPA', u'Paclitaxel', u'MPS-1-IN-1']",Fluorescence imaging
LDS-1076,LDG-1073,PLX-4720 KiNativ -- dose response experiment,-,,[u'PLX-4720'],KiNativ
LDS-1075,LDG-1072,SB590885 KiNativ -- dose response experiment,-,,[u'SB590885'],KiNativ
LDS-1077,LDG-1074,AZ-628 KiNativ -- dose response experiment,-,,[u'AZ628'],KiNativ
LDS-1073,LDG-1070,Sorafenib KiNativ -- dose response experiment,-,,[u'Sorafenib'],KiNativ
LDS-1013,LDG-1012,AZD7762 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AZD7762 at 10 uM of concentration.",,[u'SCHEMBL1564574'],KINOMEscan
LDS-1003,LDG-1002,Moerke 3 Color Apoptosis,-,"[u'HUTU-80', u'SK-LMS-1', u'KYSE-140', u'KYSE-180', u'NCI-H810', u'5637', u'BPH-1']","[u'GW843682X', u'Tozasertib', u'BI-2536', u'Paclitaxel', u'Staurosporine', u'MPS-1-IN-1', u'XMD-12', u'RO-3306']",Fluorescence imaging
LDS-1078,LDG-1075,PLX4032 KiNativ -- dose response experiment,-,,[u'Vemurafenib'],KiNativ
LDS-1032,LDG-1029,JWE-035 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of JWE-035 at 10 uM of concentration.",,[u'SCHEMBL16980224'],KINOMEscan
LDS-1011,LDG-1010,AZ-628 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AZ-628 at 10 uM of concentration.",,[u'AZ628'],KINOMEscan
LDS-1027,LDG-1025,KIN001-220 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of KIN001-220 at 10 uM of concentration.",,[u'Aurora a inhibitor i'],KINOMEscan
LDS-1016,LDG-1015,GSK429286A KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of GSK429286A at 10 uM of concentration.",,[u'GSK429286A'],KINOMEscan
LDS-1005,LDG-1004,Tang Proliferation/Mitosis,-,"[u'HUTU-80', u'COLO-800', u'IST-MEL1', u'SK-LMS-1', u'SNB75', u'SJCRH30', u'KYSE-140', u'KYSE-180', u'NCI-H1703', u'SK-MES', u'PC-9', u'NCI-H1648', u'NCI-H810', u'5637', u'IA-LM', u'KATO III', u'BPH-1']","[u'GW843682X', u'Tozasertib', u'BI-2536', u'Paclitaxel', u'Staurosporine', u'MPS-1-IN-1', u'XMD-12', u'RO-3306']",Fluorescence imaging
LDS-1048,LDG-1045,QL-X-138 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of QL-X-138 at 10 uM of concentration.",,[u'SCHEMBL17052537'],KINOMEscan
LDS-1059,LDG-1056,XMD14-99 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of XMD14-99 at 10 uM of concentration.",,[u'NCGC00346967-01'],KINOMEscan
LDS-1053,LDG-1050,WZ-7043 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of WZ-7043 at 10 uM of concentration.",,[u'SCHEMBL17378613'],KINOMEscan
LDS-1060,LDG-1057,XMD15-27 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of XMD15-27 at 10 uM of concentration.",,[u'XMD15-27'],KINOMEscan
LDS-1055,LDG-1052,WZ4002 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of WZ4002 at 10 uM of concentration.",,[u'WZ 4002'],KINOMEscan
LDS-1054,LDG-1051,WZ3105 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of WZ3105 at 10 uM of concentration.",,[u'WZ3105'],KINOMEscan
LDS-1052,LDG-1049,WZ-4-145 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of WZ-4-145 at 10 uM of concentration.",,[u'SCHEMBL17857056'],KINOMEscan
LDS-1049,LDG-1046,QL-XI-92 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of QL-XI-92 at 10 uM of concentration.",,[u'CHEMBL3188661'],KINOMEscan
LDS-1051,LDG-1048,Torin2 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of Torin2 at 10 uM of concentration.",,[u'TORIN-2'],KINOMEscan
LDS-1047,LDG-1044,NPK76-II-72-1 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of NPK76-II-72-1 at 10 uM of concentration.",,[u'SCHEMBL618594'],KINOMEscan
LDS-1046,LDG-1043,GDC-0941 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of GDC-0941 at 10 uM of concentration.",,[u'Pictilisib'],KINOMEscan
LDS-1045,LDG-1042,A443654 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of A443654 at 10 uM of concentration.",,[u'A-443654'],KINOMEscan
LDS-1044,LDG-1041,KIN001-127 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of KIN001-127 at 10 uM of concentration.",,[u'Itk inhibitor'],KINOMEscan
LDS-1040,LDG-1037,CGP60474 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of CGP60474 at 10 uM of concentration.",,[u'CGP 60474'],KINOMEscan
LDS-1039,LDG-1036,HKI-272 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of HKI-272 at 10 uM of concentration.",,[u'Neratinib'],KINOMEscan
LDS-1038,LDG-1035,HG-5-88-01 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of HG-5-88-01 at 10 uM of concentration.",,[u'SCHEMBL3958507'],KINOMEscan
LDS-1037,LDG-1034,HG-5-113-01 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of HG-5-113-01 at 10 uM of concentration.",,[u'SCHEMBL3954849'],KINOMEscan
LDS-1043,LDG-1040,BI-2536 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of BI-2536 at 10 uM of concentration.",,[u'BI-2536'],KINOMEscan
LDS-1042,LDG-1039,WH-4-025 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of WH-4-025 at 10 uM of concentration.",,[u'WH-4-025'],KINOMEscan
LDS-1041,LDG-1038,PD173074 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of PD173074 at 10 uM of concentration.",,[u'PD-173074'],KINOMEscan
LDS-1036,LDG-1033,ALW-II-49-7 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of ALW-II-49-7 at 10 uM of concentration.",,[u'CHEMBL552425'],KINOMEscan
LDS-1035,LDG-1032,ALW-II-38-3 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of ALW-II-38-3 at 10 uM of concentration.",,[u'SCHEMBL15556278'],KINOMEscan
LDS-1050,LDG-1047,Torin1 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of Torin1 at 10 uM of concentration.",,[u'TORIN1'],KINOMEscan
LDS-1056,LDG-1053,XMD11-50 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of XMD11-50 at 10 uM of concentration.",,[u'LRRK2-IN-1'],KINOMEscan
LDS-1057,LDG-1054,XMD11-85h KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of XMD11-85h at 10 uM of concentration.",,[u'MLS002232309'],KINOMEscan
LDS-1058,LDG-1055,XMD13-2 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of XMD13-2 at 10 uM of concentration.",,[u'CHEMBL3188944'],KINOMEscan
LDS-1061,LDG-1058,XMD16-144 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of XMD16-144 at 10 uM of concentration.",,[u'SCHEMBL16065773'],KINOMEscan
LDS-1062,LDG-1059,XMD8-85 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of XMD8-85 at 10 uM of concentration.",,[u'CHEMBL1673039'],KINOMEscan
LDS-1063,LDG-1060,XMD8-92 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of XMD8-92 at 10 uM of concentration.",,[u'XMD 8-92'],KINOMEscan
LDS-1064,LDG-1061,ZG-10 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of ZG-10 at 10 uM of concentration.",,[u'Jnk-in-2'],KINOMEscan
LDS-1066,LDG-1063,PD0325901 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of PD0325901 at 10 uM of concentration.",,[u'PD-0325901'],KINOMEscan
LDS-1065,LDG-1062,WYE-125132 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of WYE-125132 at 10 uM of concentration.",,[u'WYE 125132'],KINOMEscan
LDS-1067,LDG-1064,JNK-IN-5A KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of JNK-IN-5A at 10 uM of concentration.",,[u'GW620972X'],KINOMEscan
LDS-1079,LDG-1076,HG-6-64-01 KiNativ -- single dose experiment,-,,[u'HG6-64-1'],KiNativ
LDS-1081,LDG-1078,Torin2 KiNativ -- single dose experiment,-,,[u'TORIN-2'],KiNativ
LDS-1080,LDG-1077,Torin1 KiNativ -- single dose experiment,-,,[u'TORIN1'],KiNativ
LDS-1070,LDG-1067,GSK2126458 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of GSK2126458 at 10 uM of concentration.",,[u'EX-8678'],KINOMEscan
LDS-1068,LDG-1065,CYT387 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of CYT387 at 10 uM of concentration.",,[u'Momelotinib'],KINOMEscan
LDS-1069,LDG-1066,Sigma A6730 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of Sigma A6730 at 10 uM of concentration.",,[u'Akt inhibitor viii'],KINOMEscan
LDS-1071,LDG-1068,GSK1059615 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of GSK1059615 at 10 uM of concentration.",,[u'GSK1059615'],KINOMEscan
LDS-1072,LDG-1069,AG1478 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AG1478 at 10 uM of concentration.",,[u'Tyrphostin ag-1478'],KINOMEscan
LDS-1087,LDG-1084,XMD8-85 KiNativ -- single dose experiment,-,,[u'CHEMBL1673039'],KiNativ
LDS-1084,LDG-1081,XMD11-85h KiNativ -- single dose experiment,-,,[u'MLS002232309'],KiNativ
LDS-1085,LDG-1082,XMD16-144 KiNativ -- single dose experiment,-,,[u'SCHEMBL16065773'],KiNativ
LDS-1083,LDG-1080,XMD11-50 KiNativ -- single dose experiment,-,,[u'LRRK2-IN-1'],KiNativ
LDS-1090,LDG-1087,NVP-BHG712 KiNativ -- multiple dose experiment,-,,[u'NVP-BHG712'],KiNativ
LDS-1086,LDG-1083,JWE-035 KiNativ -- single dose experiment,-,,[u'SCHEMBL16980224'],KiNativ
LDS-1091,LDG-1088,CH5424802 KiNativ -- single dose experiment,-,,[u'Alectinib'],KiNativ
LDS-1088,LDG-1085,XMD8-92 KiNativ -- single dose experiment,-,,[u'XMD 8-92'],KiNativ
LDS-1089,LDG-1086,XMD-12 KiNativ -- single dose experiment,-,,[u'XMD-12'],KiNativ
LDS-1092,LDG-1089,NPK76-II-72-1 KiNativ -- single dose experiment,-,,[u'SCHEMBL618594'],KiNativ
LDS-1082,LDG-1079,BEZ235 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of BEZ235 at 10 uM of concentration.",,[u'Dactolisib'],KINOMEscan
LDS-1093,LDG-1090,Lapatinib KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of Lapatinib at 10 uM of concentration.",,[u'Lapatinib'],KINOMEscan
LDS-1097,LDG-1094,SP600125 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of SP600125 at 10 uM of concentration.",,[u'Pyrazolanthrone'],KINOMEscan
LDS-1104,LDG-1101,CI-1033 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of CI-1033 at 10 uM of concentration.",,[u'Canertinib'],KINOMEscan
LDS-1103,LDG-1100,KU63794 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of KU63794 at 10 uM of concentration.",,[u'KU63794'],KINOMEscan
LDS-1095,LDG-1092,NVP-TAE684 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of NVP-TAE684 at 10 uM of concentration.",,[u'TAE-684'],KINOMEscan
LDS-1094,LDG-1091,JW-7-24-1 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of JW-7-24-1 at 10 uM of concentration.",,[u'SCHEMBL6874948'],KINOMEscan
LDS-1105,LDG-1102,WZ-1-84 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of WZ-1-84 at 10 uM of concentration.",,[u'KIN001-123'],KINOMEscan
LDS-1102,LDG-1099,Bosutinib KINOMEscan,-,,[u'Bosutinib'],KINOMEscan
LDS-1101,LDG-1098,XMD-12 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of XMD-12 at 10 uM of concentration.",,[u'XMD-12'],KINOMEscan
LDS-1100,LDG-1097,CG-930 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of CG-930 at 10 uM of concentration.",,[u'CHEMBL1950303'],KINOMEscan
LDS-1099,LDG-1096,A770041 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of A770041 at 10 uM of concentration.",,[u'KIN001-111'],KINOMEscan
LDS-1098,LDG-1095,BMS-536924 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of BMS-536924 at 10 uM of concentration.",,[u'BMS-536924'],KINOMEscan
LDS-1096,LDG-1093,R406 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of R406 at 10 uM of concentration.",,[u'Tamatinib'],KINOMEscan
LDS-1108,LDG-1105,U87 cells -- High-throughput Secretomic Analysis of Single Cells,High-throughput secretomic analysis of single U87 cells.,[u'U-87 MG'],,ELISA
LDS-1109,LDG-1106,U937 cells -- High-throughput Secretomic Analysis of Single Cells,High-throughput secretomic analysis of single U937 cells.,[u'U-937'],,ELISA
LDS-1107,LDG-1104,A549 cells -- High-throughput Secretomic Analysis of Single Cells,High-throughput secretomic analysis of single A549 cells.,[u'A549'],,ELISA
LDS-1116,LDG-1113,OTSSP167 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of OTSSP167 at 10 uM of concentration.",,[u'OTSSP167'],KINOMEscan
LDS-1113,LDG-1110,BS-181 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of BS-181 at 10 uM of concentration.",,[u'BS-181'],KINOMEscan
LDS-1111,LDG-1108,PHA-793887 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of PHA-793887 at 10 uM of concentration.",,[u'PHA-793887'],KINOMEscan
LDS-1117,LDG-1114,Dabrafenib KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of Dabrafenib at 10 uM of concentration.",,[u'Dabrafenib'],KINOMEscan
LDS-1118,LDG-1115,HG-9-91-01 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of HG-9-91-01 at 10 uM of concentration.",,[u'HG-9-91-01'],KINOMEscan
LDS-1114,LDG-1111,Dinaciclib KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of Dinaciclib at 10 uM of concentration.",,[u'Dinaciclib'],KINOMEscan
LDS-1115,LDG-1112,AZD4547 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AZD4547 at 10 uM of concentration.",,[u'AZD4547'],KINOMEscan
LDS-1110,LDG-1107,(R)-Roscovitine KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of (R)-Roscovitine at 10 uM of concentration.",,[u'Seliciclib'],KINOMEscan
LDS-1119,LDG-1116,HG-14-8-02 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of HG-14-8-02 at 10 uM of concentration.",,[u'Osimertinib'],KINOMEscan
LDS-1112,LDG-1109,PHA-767491 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of PHA-767491 at 10 uM of concentration.",,[u'PHA-767491'],KINOMEscan
LDS-1120,LDG-1117,HG-14-10-04 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of HG-14-10-04 at 10 uM of concentration.",,[u'HG-14-10-04'],KINOMEscan
LDS-1121,LDG-1118,AZD 5438 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of AZD 5438 at 10 uM of concentration.",,[u'AZD-5438'],KINOMEscan
LDS-1106,LDG-1103,Metrics other than potency reveal systematic variation in responses to cancer drugs,-,"[u'BT-474', u'BT-483', u'BT-549', u'HCC1419', u'MDA-MB-134-VI', u'MDA-MB-175-VII', u'UACC-812', u'UACC-893', u'ZR-75-1', u'HCC1187', u'HCC1143', u'HCC1395', u'HCC1937', u'HCC1954', u'HCC202', u'HCC38', u'HCC70', u'MCF7', u'AU565', u'CAMA-1', u'HCC1428', u'MDA-MB-361', u'MDA-MB-436', u'MDA-MB-468', u'HCC1569', u'MB 157', u'MDA-MB-453', u'T47D', u'MDA-MB-157', u'HCC1806', u'T47DKBLUC', u'SUM229PE', u'SUM1315MO2', u'SUM149PT', u'SUM159PT', u'SUM185PE', u'SUM225CWN', u'SUM52PE', u'600MPE', u'HCC2185', u'HCC3153', u'LY2', u'ZR75B', u'184A1', u'184B5', u'MCF12A', u'MCF 10F']","[u'GSK-461364', u'Tozasertib', u'Imatinib', u'PD-173074', u'Akt inhibitor viii', u'GSK-1070916', u'Erlotinib', u'Gefitinib', u'Paclitaxel', u'MG-132', u'Trametinib', u'EX-8678', u'Bosutinib', u'Tyrphostin ag-1478', u'Lestaurtinib', u'NSC 663284', u'Epirubicin', u'Irinotecan', u'Ikk inhibitor vii', u'Triciribine', u'Vorinostat', u'Doxorubicin', u'Fluorouracil', u'CGC-11047', u'CGC-11144', u'Cis-platin', u'Fascaplysin', u'GSK1838705A', u'GSK923295', u'Ibandronic acid', u'NU6102', u'Temsirolimus', u'XRP44X', u'Valproic acid', u'Gemcitabine', u'Topotecan', u'Ispinesib', u'Pevonedistat', u'179324-69-7', u'Vinorelbine base', u'Etoposide', u'NUTLIN-3', u'Baicalein', u'Olomoucine II', u'PP-242', u'Z-Leu-Leu-Norvalinal', u'Doxifluridine', u'Docetaxel', u'TCS 2312', u'Geldanamycin', u'GSK-1059615', u'Sunitinib', u'Trichostatin', u'Everolimus', u'Panobinostat', u'Oxamflatin', u'Afatinib', u'17-AAG', u'Ixabepilone', u""4'-hydroxytamoxifen"", u'Oxaliplatin', u'Carboplatin']",Fluorescence imaging
LDS-1126,LDG-1123,Cell signaling response to growth factors measured by ELISA,-,"[u'BT-474', u'BT-483', u'BT-549', u'HCC1419', u'MDA-MB-134-VI', u'MDA-MB-175-VII', u'UACC-812', u'UACC-893', u'ZR-75-1', u'ZR-75-30', u'HCC1187', u'HCC1500', u'HCC1395', u'HCC1937', u'HCC1954', u'HCC202', u'HCC38', u'HCC70', u'MCF7', u'AU565', u'CAMA-1', u'HCC1428', u'MDA-MB-361', u'MDA-MB-415', u'MDA-MB-436', u'MDA-MB-468', u'HCC1569', u'MDA-MB-453', u'T47D', u'MDA-MB-157', u'HCC1806', u'184B5', u'MCF12A', u'MCF 10F']",,ELISA
LDS-1125,LDG-1122,Cell signaling response to cytokines measured by high throughput microscopy,-,"[u'BT-474', u'BT-483', u'BT-549', u'HCC1419', u'MDA-MB-134-VI', u'MDA-MB-175-VII', u'UACC-812', u'UACC-893', u'ZR-75-1', u'ZR-75-30', u'HCC1187', u'HCC1500', u'HCC1395', u'HCC1937', u'HCC1954', u'HCC202', u'HCC38', u'HCC70', u'MCF7', u'AU565', u'CAMA-1', u'HCC1428', u'MDA-MB-361', u'MDA-MB-415', u'HCC1569', u'MDA-MB-453', u'T47D', u'MDA-MB-157', u'HCC1806', u'184B5', u'MCF12A', u'MCF 10F']",,Fluorescence imaging
LDS-1124,LDG-1121,Cell signaling response to growth factors measured by high throughput microscopy,-,"[u'BT-474', u'BT-483', u'BT-549', u'HCC1419', u'MDA-MB-134-VI', u'MDA-MB-175-VII', u'UACC-812', u'UACC-893', u'ZR-75-1', u'ZR-75-30', u'HCC1187', u'HCC1500', u'HCC1395', u'HCC1937', u'HCC1954', u'HCC202', u'HCC38', u'HCC70', u'MCF7', u'AU565', u'CAMA-1', u'HCC1428', u'MDA-MB-361', u'MDA-MB-415', u'MDA-MB-436', u'HCC1569', u'MDA-MB-453', u'T47D', u'MDA-MB-157', u'HCC1806', u'184B5', u'MCF12A', u'MCF 10F']",,Fluorescence imaging
LDS-1123,LDG-1120,Basal profile of receptor tyrosine kinase signaling network measured by ELISA,-,"[u'BT-474', u'BT-483', u'BT-549', u'HCC1419', u'MDA-MB-134-VI', u'MDA-MB-175-VII', u'UACC-812', u'UACC-893', u'ZR-75-1', u'ZR-75-30', u'HCC1187', u'HCC1500', u'HCC1395', u'HCC1937', u'HCC1954', u'HCC202', u'HCC38', u'HCC70', u'MCF7', u'AU565', u'CAMA-1', u'HCC1428', u'MDA-MB-361', u'MDA-MB-415', u'MDA-MB-436', u'MDA-MB-468', u'HCC1569', u'MDA-MB-453', u'T47D', u'MDA-MB-157', u'HCC1806', u'184B5', u'MCF12A', u'MCF 10F']",,ELISA
LDS-1172,LDG-1169,AT-7519 KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of AT-7519.",,[u'AT-7519'],KINOMEscan
LDS-1143,LDG-1140,Nilotinib KINOMEscan,"For the panel of kinases, the Kd is measured using 11 serial threefold dilutions of Nilotinib.",,[u'Nilotinib'],KINOMEscan
